Count	Time	Value	Diff	Status
0	16/08/2013 16:34:00 CEST	4.114,00	0,00	Real-time index
0	16/08/2013 16:33:45 CEST	4.114,02	0,00	Real-time index
0	16/08/2013 16:33:30 CEST	4.113,61	0,00	Real-time index
0	16/08/2013 16:33:15 CEST	4.112,09	0,00	Real-time index
0	16/08/2013 16:33:00 CEST	4.110,32	0,00	Real-time index
0	16/08/2013 16:32:45 CEST	4.109,58	0,00	Real-time index
0	16/08/2013 16:32:30 CEST	4.109,06	0,00	Real-time index
0	16/08/2013 16:32:15 CEST	4.108,67	0,00	Real-time index
0	16/08/2013 16:32:00 CEST	4.108,26	0,00	Real-time index
0	16/08/2013 16:31:45 CEST	4.108,32	0,00	Real-time index
0	16/08/2013 16:31:30 CEST	4.108,53	0,00	Real-time index
0	16/08/2013 16:31:15 CEST	4.108,90	0,00	Real-time index
0	16/08/2013 16:31:00 CEST	4.109,10	0,00	Real-time index
0	16/08/2013 16:30:45 CEST	4.108,78	0,00	Real-time index
0	16/08/2013 16:30:30 CEST	4.109,03	0,00	Real-time index
0	16/08/2013 16:30:15 CEST	4.109,68	0,00	Real-time index
0	16/08/2013 16:30:00 CEST	4.108,24	0,00	Real-time index
0	16/08/2013 16:29:45 CEST	4.108,51	0,00	Real-time index
0	16/08/2013 16:29:30 CEST	4.108,11	0,00	Real-time index
0	16/08/2013 16:29:15 CEST	4.107,92	0,00	Real-time index
0	16/08/2013 16:29:00 CEST	4.107,74	0,00	Real-time index
0	16/08/2013 16:28:45 CEST	4.107,21	0,00	Real-time index
0	16/08/2013 16:28:30 CEST	4.107,50	0,00	Real-time index
0	16/08/2013 16:28:15 CEST	4.107,80	0,00	Real-time index
0	16/08/2013 16:28:00 CEST	4.106,72	0,00	Real-time index
0	16/08/2013 16:27:45 CEST	4.106,67	0,00	Real-time index
0	16/08/2013 16:27:30 CEST	4.106,57	0,00	Real-time index
0	16/08/2013 16:27:15 CEST	4.107,00	0,00	Real-time index
0	16/08/2013 16:27:00 CEST	4.106,67	0,00	Real-time index
0	16/08/2013 16:26:45 CEST	4.105,16	0,00	Real-time index
0	16/08/2013 16:26:30 CEST	4.104,38	0,00	Real-time index
0	16/08/2013 16:26:15 CEST	4.103,86	0,00	Real-time index
0	16/08/2013 16:25:45 CEST	4.103,36	0,00	Real-time index
0	16/08/2013 16:25:30 CEST	4.103,23	0,00	Real-time index
0	16/08/2013 16:25:15 CEST	4.104,85	0,00	Real-time index
0	16/08/2013 16:25:00 CEST	4.105,13	0,00	Real-time index
0	16/08/2013 16:24:45 CEST	4.105,20	0,00	Real-time index
0	16/08/2013 16:24:30 CEST	4.104,76	0,00	Real-time index
0	16/08/2013 16:24:15 CEST	4.104,45	0,00	Real-time index
0	16/08/2013 16:24:00 CEST	4.104,79	0,00	Real-time index
0	16/08/2013 16:23:45 CEST	4.103,60	0,00	Real-time index
0	16/08/2013 16:23:15 CEST	4.103,73	0,00	Real-time index
0	16/08/2013 16:23:00 CEST	4.103,31	0,00	Real-time index
0	16/08/2013 16:22:45 CEST	4.103,06	0,00	Real-time index
0	16/08/2013 16:22:30 CEST	4.103,36	0,00	Real-time index
0	16/08/2013 16:22:15 CEST	4.103,42	0,00	Real-time index
0	16/08/2013 16:22:00 CEST	4.103,82	0,00	Real-time index
0	16/08/2013 16:21:45 CEST	4.103,72	0,00	Real-time index
0	16/08/2013 16:21:30 CEST	4.104,02	0,00	Real-time index
0	16/08/2013 16:21:15 CEST	4.104,12	0,00	Real-time index
0	16/08/2013 16:21:00 CEST	4.103,81	0,00	Real-time index
0	16/08/2013 16:20:45 CEST	4.103,96	0,00	Real-time index
